"Kerncijfers wijken en buurten 2019"
""
"";"Onderwerp"
"";"Regioaanduiding|Gemeentenaam";"Regioaanduiding|Soort regio";"Regioaanduiding|Codering";"Regioaanduiding|Indelingswijziging wijken en buurten"
"Wijken en buurten";"naam";"omschrijving";"code";"code"
"Nederland";"Nederland";"Land";"NL00";"."
"Hengelo";"Hengelo";"Gemeente";"GM0164";"."
"Wijk 00 Binnenstad";"Hengelo";"Wijk";"WK016400";"1"
"Binnenstad-Centrum";"Hengelo";"Buurt";"BU01640000";"1"
"Binnenstad-West";"Hengelo";"Buurt";"BU01640001";"1"
"Binnenstad-Oost";"Hengelo";"Buurt";"BU01640002";"1"
"Wijk 01 Hengelose Es";"Hengelo";"Wijk";"WK016401";"1"
"Hengelose Es-Noord";"Hengelo";"Buurt";"BU01640100";"1"
"Tichelwerk";"Hengelo";"Buurt";"BU01640101";"1"
"'t Wilbert";"Hengelo";"Buurt";"BU01640102";"1"
"Bedrijventerrein Timmersveld";"Hengelo";"Buurt";"BU01640103";"1"
"Wijk 02 Noord";"Hengelo";"Wijk";"WK016402";"1"
"Noord";"Hengelo";"Buurt";"BU01640200";"1"
"Elsbeek";"Hengelo";"Buurt";"BU01640201";"1"
"De Noork";"Hengelo";"Buurt";"BU01640202";"1"
"Klein Driene";"Hengelo";"Buurt";"BU01640203";"1"
"'t Rot";"Hengelo";"Buurt";"BU01640204";"1"
"Wijk 03 Hasseler Es";"Hengelo";"Wijk";"WK016403";"1"
"Bovenhoek";"Hengelo";"Buurt";"BU01640300";"1"
"Schothorsthoek";"Hengelo";"Buurt";"BU01640301";"1"
"Bartelinkshoek";"Hengelo";"Buurt";"BU01640302";"1"
"Tijertshoek";"Hengelo";"Buurt";"BU01640303";"1"
"Sogtoenhoek";"Hengelo";"Buurt";"BU01640304";"1"
"Bruninkshoek";"Hengelo";"Buurt";"BU01640305";"1"
"Middelhoek";"Hengelo";"Buurt";"BU01640306";"1"
"Molendijkhoek";"Hengelo";"Buurt";"BU01640307";"1"
"Weijinkshoek";"Hengelo";"Buurt";"BU01640308";"1"
"Oosterveld";"Hengelo";"Buurt";"BU01640309";"1"
"Wijk 04 Groot Driene";"Hengelo";"Wijk";"WK016404";"1"
"Zwavertshoek";"Hengelo";"Buurt";"BU01640400";"1"
"Anninks-/Nijhofshoek";"Hengelo";"Buurt";"BU01640401";"1"
"Groot Driene-Zuid";"Hengelo";"Buurt";"BU01640402";"1"
"Groot Driene-Noord";"Hengelo";"Buurt";"BU01640403";"1"
"Wijk 05 Berflo Es";"Hengelo";"Wijk";"WK016405";"1"
"Bedrijventerrein Twentekanaal-Zuid II";"Hengelo";"Buurt";"BU01640500";"1"
"Berflo Es Noord";"Hengelo";"Buurt";"BU01640501";"1"
"Berflo Es Zuid";"Hengelo";"Buurt";"BU01640502";"1"
"Bedrijventerrein Twentekanaal-Noord II";"Hengelo";"Buurt";"BU01640503";"1"
